id,runName,instrumentType,runType,data_folder,startDate,totalReadCount
1929,iSeq9,ISeq,Quant NovaSeq,20190118_FS10000406_12_BPA73010-1614,20190118,91451076
1931,RUN503_repeat,HiSeq2500,SR125_index,190110_700523F_0272_ACD2R4ANXX,20190110,2233500227
1932,RR154,HiSeq2500,PE75_indexRR,190117_700523F_0273_BHJCLFBCX2,20190117,482612194
1933,NOV56,NovaSeq,SR100,190121_A00460_0062_AH53FJDRXX,20190121,8210793778
1934,NOV57,NovaSeq,PE26_91,190111_A00460_0059_AH3WY2DRXX,20190111,4858413250
1940,MINI34,MiniSeq,Quant NovaSeq,190115_MN00710_0034_A000H2LWMJ,20190115,532163236
1941,MS427,MiSeq,Miseq-300cycV2,190116_M01106_0266_000000000-D5JRD,20190116,0
1942,iSeq11,ISeq,Quant NovaSeq,20190123_FS10000406_13_BPA73008-1220,20190123,85408242
1944,MINI35,MiniSeq,Quant NovaSeq,190116_MN00710_0035_A000H2LWNL,20190116,318191742
1945,MS428,MiSeq,Miseq-600cycV3,190117_M04679_0135_000000000-C6W3T,20190117,0
1946,MS429,MiSeq,Miseq-600cycV3,190121_M04679_0136_000000000-C947K,20190121,0
1947,NOV58,NovaSeq,PE150,190221_A00460_0076_AH5GHKDRXX,20190221,12281004494
1948,NOV59,NovaSeq,SR100,190118_A00460_0061_BH55T2DRXX,20190118,8548736022
1949,NOV60,NovaSeq,PE150,190125_A00460_0065_AH5GGVDRXX,20190125,7217375120
1950,NOV61,NovaSeq,SR100,190128_A00460_0067_AH53G5DRXX,20190128,6681945478
1951,NOV62,NovaSeq,SR100,190121_A00460_0063_BH5FYTDRXX,20190121,20913935227
1952,NOV63,NovaSeq,100 PE,190122_A00460_0064_AH5WY5DRXX,20190122,7375694458
1954,NS255,NextSeq,PE75_HIGH,190121_NS500415_0249_AHJ3MJBGX9,20190121,4585092326
1955,MS430,MiSeq,Miseq-300cycV2,190121_M01106_0267_000000000-D5V5R,20190121,0
1957,NS256,NextSeq,PE150_HIGH,190123_NS500415_0250_AHNKG5BGX7,20190123,2074786486
1958,RR154_repeat,HiSeq2500,PE75_indexRR,190123_700523F_0274_AHVKJKBCX2,20190123,891396842
1959,MINI36,MiniSeq,SR75,190125_MN00710_0037_A000H2FWL5,20190125,0
1960,NOV64,NovaSeq,PE150,190218_A00460_0074_AH5GMKDRXX,20190218,0
1961,MINI37,MiniSeq,PE 75_HO,190124_MN00710_0036_A000H2LVVH,20190124,36821756
1963,iSeq12,ISeq,Quant NovaSeq,20190125_FS10000406_14_BPA73010-1311,20190125,111648088
1964,iSeq13,ISeq,Quant NovaSeq,20190131_FS10000406_15_BPA73010-1922,20190131,130199884
1965,NOV65,NovaSeq,SR100,190128_A00460_0066_BH5GVTDRXX,20190128,5213084920
1966,MINI36_rerun,MiniSeq,PE_150_MO,190128_MN00710_0038_A000H2LWTH,20190128,70208092
1967,MS431,MiSeq,Miseq-300cycV2,190130_M01106_0268_000000000-D5YCR,20190130,0
1972,RR155,HiSeq2500,PE75_indexRR,190204_700523F_0276_AHVVL7BCX2,20190204,0
1973,iSeq14,ISeq,Quant NovaSeq,20190207_FS10000406_16_BPA73010-0929,20190207,137951002
1975,MINI38,MiniSeq,Quant NovaSeq,190131_MN00710_0039_A000H2LWNK,20190131,82036726
1976,MS432,MiSeq,Miseq-600cycV3,190219_M04679_0137_000000000-C8VC4,20190219,0
1977,NOV66,NovaSeq, PE28_91,190201_A00460_0068_AH5GW2DRXX,20190201,4923436122
1978,NOV67,NovaSeq,PE150,190226_A00460_0079_AH5GKNDRXX,20190226,13277751474
1979,RUN508,HiSeq2500,SR125_index,190213_700523F_0281_ACD1KLANXX,20190213,2401585641
1980,NOV68,NovaSeq,SR100,190222_A00460_0078_AH5GL2DRXX,20190222,6426602880
1981,iSeq15,ISeq,Quant NovaSeq,20190211_FS10000406_18_BPA73010-2316,20190211,230846610
1983,iSeq16,ISeq,Quant NovaSeq,20190208_FS10000406_17_BPA73010-1315,20190208,188802664
1984,MS433,MiSeq,Miseq-600cycV3,190219_M01106_0269_000000000-C77K5,20190219,0
1985,RUN509,HiSeq2500,SR125_index,190301_700523F_0282_ACD2EKANXX,20190301,1919855548
1986,RR155_repeat,HiSeq2500,PE75_indexRR,190207_700523F_0280_AHWLN2BCX2,20190207,780190522
1987,iSeq17,ISeq,Quant NovaSeq,20190214_FS10000406_19_BPA73010-1605,20190214,64345814
1991,NOV70,NovaSeq,PE26_91,190212_A00460_0069_AH5GKFDRXX,20190212,4996139770
1992,NOV71,NovaSeq,SR100,190304_A00460_0084_AH72KMDRXX,20190304,9296231255
1993,NOV72,NovaSeq, PE28_91,190213_A00460_0070_AH3WGHDRXX,20190213,4800925798
1995,NS257,NextSeq,PE150_Mid,190213_NS500415_0251_AH7V3FAFXY,20190213,355330814
1996,NOV73,NovaSeq, PE28_91,190214_A00460_0072_BHHJY2DMXX,20190214,12534413790
1997,RUN510,HiSeq2500,SR125_index,190308_700523F_0283_ACDLFBANXX,20190308,5643512957
1999,NS258,NextSeq,PE150_HIGH,190215_NS500415_0252_AHJ2LLBGX9,20190215,1257754346
2000,NOV69_repeat,NovaSeq,SR100,190215_A00460_0073_AHHHNCDMXX,20190215,12581588623
2001,iSeq18,ISeq,Quant NovaSeq,20190218_FS10000406_20_BPA73017-0915,20190218,247817988
2002,iSeq19,ISeq,Quant NovaSeq,20190220_FS10000406_21_BPA73010-2211,20190220,187256490
2003,iSeq20,ISeq,Quant NovaSeq,20190225_FS10000406_22_BPA73010-1627,20190225,142909038
2004,NS259,NextSeq,PE75_HIGH,190219_NS500415_0253_AHJ7HMBGX9,20190219,2534986854
2005,NOV64_repeat,NovaSeq,PE150,190221_A00460_0075_BH53HHDRXX,20190221,12284458578
2008,NS260,NextSeq,PE75_HIGH,190220_NS500415_0254_AHJ2LNBGX9,20190220,2593782080
2010,NOV74,NovaSeq,PE150,190308_A00460_0087_AHHCJGDMXX,20190308,73430799526
2011,NOV75,NovaSeq,SR100,190227_A00460_0081_AH77V5DRXX,20190227,4970928367
2012,NOV76,NovaSeq,SR100,190227_A00460_0080_BH77NHDRXX,20190227,1155055050
2013,NS261,NextSeq,PE75_HIGH,190221_NS500415_0255_AHTM22BGX9,20190221,1795896078
2014,NS262,NextSeq,PE75_HIGH,190328_NS500415_0266_AHTMM2BGX9,20190328,1756048205
2020,NOV77,NovaSeq, PE28_91,190222_A00460_0077_BHHHLFDMXX,20190222,10890310112
2021,NOV78,NovaSeq,SR100,190328_A00460_0093_AH572MDRXX,20190328,11740243413
2023,MINI39,MiniSeq,PE 75_HO,190222_MN00710_0040_A000H2LNTN,20190222,80216688
2025,iSeq21,ISeq,Quant NovaSeq,20190227_FS10000406_24_BPA73010-1734,20190227,0
2027,iSeq22,ISeq,Quant NovaSeq,20190226_FS10000406_23_BPA73010-1717,20190226,22789356
