run_id,date,instrument_name,number_of_reads,run_type,total_gigabases
208,2014-05-14,HiSeq2500,2267391568,PE100,226
209,2014-05-02,HiSeq2500,965772462,SR50,48
210,2014-05-16,HiSeq2500,1020193868,SR100,102
211,2014-04-11,MiSeq,,,
212,2014-04-17,MiSeq,,,
213,2014-04-25,HiSeq2500,1352544163,SR100,135
215,2014-05-14,HiSeq2500,2339443214,PE100,233
216,2014-05-16,HiSeq2500,2701869036,PE100,270
217,2014-06-05,Others,2146462510,PE100,214
218,2014-06-06,Others,823514787,SR100,82
219,2014-05-09,MiSeq,0,PE150,0
220,2014-05-07,MiSeq,,,
221,2014-05-16,MiSeq,,,
222,2014-05-30,HiSeq2500,1990903240,PE100,199
224,2014-05-30,HiSeq2500,2458362856,PE100,245
225,2014-06-06,HiSeq2500,2385941922,PE100,238
226,2014-06-06,Others,889441324,SR100,88
227,2014-06-11,HiSeq2500,722297440,SR100,72
228,2014-06-09,MiSeq,,,
229,2014-06-19,HiSeq2500,1416812193,SR100,141
230,2014-06-25,HiSeq2500,1341031898,SR100,134
231,2014-06-19,HiSeq2500,3334546930,PE100,333
232,2014-06-25,HiSeq2500,1232840074,SR100,123
234,2014-07-04,HiSeq2500,998224059,SR100,99
235,2014-06-26,HiSeq2500,3425490416,PE100,342
236,2014-07-17,HiSeq2500,1999969994,PE100,199
238,2014-07-23,HiSeq2500,1148813637,SR100,114
239,2014-08-12,HiSeq2500,2294656558,PE100,229
240,2014-07-18,HiSeq2500,2544375306,PE100,254
242,2014-07-08,MiSeq,,,
243,2014-07-17,MiSeq,,,
244,2014-07-21,MiSeq,,,
245,2014-08-05,HiSeq2500,911656640,SR100,91
246,2014-08-11,HiSeq2500,1252910318,PE100,125
247,2014-07-22,MiSeq,,,
248,2014-07-28,MiSeq,,,
249,2014-08-07,MiSeq,,,
250,2014-08-28,HiSeq2500,3704105630,PE100,370
251,2014-08-14,HiSeq2500,1263233540,SR100,126
252,2014-08-07,HiSeq2500,2416152636,PE100,241
253,2014-08-07,HiSeq2500,3221759332,PE100,322
254,2014-08-14,HiSeq2500,924787923,SR100,92
255,2014-08-22,HiSeq2500,1372412790,SR100,137
256,2014-08-28,HiSeq2500,1555790380,PE100,155
257,2014-08-11,MiSeq,,,
258,2014-08-22,HiSeq2500,946899767,SR100,94
259,2014-09-01,HiSeq2500,1643741055,SR100,164
260,2014-09-11,HiSeq2500,951011387,SR100,95
261,2014-09-11,HiSeq2500,3870508016,PE100,387
262,2014-09-24,HiSeq2500,1289791190,SR100,128
263,2014-09-23,HiSeq2500,4136541176,PE100,413
264,2014-10-28,HiSeq2500,2796977270,PE100,279
265,2014-09-08,MiSeq,,,
266,2014-09-24,HiSeq2500,1079810283,SR100,107
267,2014-10-07,HiSeq2500,2048118714,SR100,204
268,2014-10-07,HiSeq2500,1132613678,SR100,113
269,0000-00-00,HiSeq2500,,,
272,2014-11-07,HiSeq2500,1324747837,SR100,132
274,2014-10-17,NextSeq,,,
275,2014-10-30,MiSeq,,,
276,2014-10-24,MiSeq,,,
277,2014-11-07,HiSeq2500,3789885554,PE100,378
278,0000-00-00,HiSeq2500,,,
279,2014-11-28,HiSeq2500,1825822655,SR100,182
280,2014-12-11,HiSeq2500,1673347727,SR100,167
281,0000-00-00,MiSeq,,,
282,2014-12-10,HiSeq2500,3025517746,PE100,302
283,2014-11-14,MiSeq,,,
284,2014-11-26,MiSeq,,,
285,2014-11-26,MiSeq,,,
286,2014-11-01,MiSeq,0,PE150,0
287,2014-12-19,HiSeq2500,3926448856,PE100,392
288,2014-12-11,HiSeq2500,1831754335,SR100,183
289,2014-12-09,HiSeq2500,3592805558,PE100,359
290,0000-00-00,MiSeq,,,
291,0000-00-00,MiSeq,,,
292,0000-00-00,MiSeq,,,
293,0000-00-00,MiSeq,,,
294,2014-12-19,HiSeq2500,1570906034,SR100,157
295,2014-12-15,MiSeq,,,
296,2014-12-17,MiSeq,,,
297,2014-12-17,MiSeq,0,SR50,0
298,2015-01-06,MiSeq,,,
299,2015-01-08,HiSeq2500,1954607813,SR100,195
300,2015-01-08,HiSeq2500,4126143146,PE100,412
301,2015-01-08,HiSeq2500,3799573714,PE100,379
302,2015-01-27,HiSeq2500,2915135140,PE125,364
303,2015-01-22,HiSeq2500,1820391498,SR125,227
304,0000-00-00,MiSeq,,,
305,2015-01-21,HiSeq2500,,,
306,2015-01-19,MiSeq,0,PE250,0
307,2015-02-05,HiSeq2500,2033767383,SR125,254
308,2015-02-13,HiSeq2500,4631733538,PE125,578
309,2015-02-13,HiSeq2500,1766188657,SR125,220
310,2015-02-05,MiSeq,,,
311,0000-00-00,MiSeq,,,
312,2015-02-13,HiSeq2500,3936390282,PE125,492
313,2015-03-03,HiSeq2500,1558052852,SR125,194
314,2015-02-25,HiSeq2500,1990577756,SR125,248
315,2015-04-16,HiSeq2500,3396742882,PE125,424
316,2015-03-04,HiSeq2500,3534532852,PE125,441
317,2015-03-09,HiSeq2500,3156216580,PE125,394
318,2015-03-20,HiSeq2500,3286622938,PE125,410
319,2015-04-16,HiSeq2500,1164753099,SR125,145
320,2015-03-20,HiSeq2500,1605555165,SR125,200
321,2015-04-17,HiSeq2500,1050895212,SR125,131
