run_id,date,instrument_name,number_of_reads,run_type,total_gigabases
731,2016-09-29,HiSeq4000,206003352,PE150,30
732,2016-09-28,NextSeq,537910493,SR75,40
733,2015-10-24,HiSeq4000,3057121252,SR125,382
734,2016-09-30,PacBio,,,
736,2016-10-13,HiSeq2500,340518780,PE125,42
737,2016-10-25,HiSeq2500,357480141,SR70,25
738,2016-10-05,PacBio,,,
743,2016-10-13,PacBio,,,
744,2016-10-13,PacBio,,,
745,2016-10-14,PacBio,,,
746,2016-10-18,HiSeq4000,6203679500,PE150,930
747,2016-10-15,HiSeq4000,4750961238,PE150,712
751,2016-10-19,HiSeq2500,1517741544,SR125,189
753,2016-10-18,PacBio,,,
754,2016-10-20,PacBio,,,
756,2016-10-28,HiSeq2500,279587830,SR125,34
757,2016-11-04,HiSeq2500,212114260,PE125,26
758,2016-10-25,PacBio,,,
759,2016-11-03,HiSeq4000,2950849771,SR125,368
760,2016-11-16,HiSeq2500,182505742,SR70,12
761,2016-11-01,HiSeq2500,441181572,PE125,55
762,2016-11-04,HiSeq2500,336274918,SR125,42
763,2016-10-28,MiSeq,,,
764,2016-10-28,MiSeq,,,
766,2016-11-16,HiSeq2500,,,
767,2016-11-21,HiSeq4000,2984070382,SR125,373
768,2016-11-28,HiSeq2500,784353464,PE125,98
769,2016-11-10,HiSeq2500,2256106310,PE125,282
770,2016-11-10,HiSeq2500,362261067,SR125,45
772,2016-11-10,HiSeq2500,790788628,PE125,98
774,2016-11-17,HiSeq2500,521650376,PE125,65
776,2016-12-09,HiSeq2500,265909916,SR125,33
777,2016-11-08,MiSeq,,,
778,2016-11-08,MiSeq,,,
779,2016-11-14,PacBio,,,
780,2016-11-23,HiSeq4000,2902175763,SR125,362
781,2016-11-14,NextSeq,109208143,PE75,8
782,2016-11-15,MiSeq,,,
783,2016-11-15,PacBio,,,
784,2016-11-15,MiSeq,,,
785,2016-12-09,HiSeq4000,5358238956,PE150,803
786,2016-11-18,MiSeq,0,PE250,0
787,2016-11-18,MiSeq,,,
790,2016-11-23,MiSeq,,,
791,2016-11-23,PacBio,,,
792,2016-11-24,MiSeq,0,PE150,0
793,2016-11-25,NextSeq,325032815,PE150,48
794,2016-11-25,MiSeq,0,PE300,0
795,2016-12-02,HiSeq2500,82600456,PE125,10
796,2016-11-28,MiSeq,,,
797,2016-12-15,HiSeq4000,3228410664,SR125,403
798,2016-11-28,MiSeq,0,PE300,0
799,2016-11-28,PacBio,,,
800,2016-12-09,HiSeq2500,219204829,SR125,27
801,2016-11-29,NextSeq,377818828,PE150,56
802,2016-12-02,HiSeq2500,317032673,SR125,39
803,2016-12-06,HiSeq2500,0,SR125,0
804,2016-12-20,HiSeq2500,606960414,PE125,75
805,2016-12-15,HiSeq4000,4964110510,PE150,744
806,2017-01-13,HiSeq4000,2357859817,SR125,294
807,2016-12-02,NextSeq,428014542,PE150,64
808,2016-12-15,HiSeq2500,524782666,PE150,78
809,2016-12-02,MiSeq,,,
810,2016-12-02,MiSeq,0,PE300,0
811,2016-12-03,PacBio,,,
812,2016-12-15,HiSeq2500,402692116,PE250,100
813,2016-12-05,HiSeq2500,2743713718,PE125,342
814,2016-12-05,MiSeq,0,SR50,0
815,2016-12-06,NextSeq,153714408,PE75,11
816,2016-12-08,PacBio,,,
817,2016-12-08,NextSeq,192921852,SR150,28
818,2016-12-08,NextSeq,266765189,PE75,20
819,2016-12-08,NextSeq,346763462,SR75,26
820,2016-12-08,NextSeq,512854418,SR75,38
821,2016-12-08,NextSeq,386812524,SR75,29
822,2016-12-09,MiSeq,0,PE300,0
823,2016-12-10,PacBio,,,
825,2016-12-13,PacBio,,,
826,2016-12-22,HiSeq2500,327384431,SR125,40
827,2017-01-23,HiSeq2500,2992144900,PE125,374
828,2017-01-20,HiSeq2500,1499958850,SR125,187
829,2016-12-22,HiSeq4000,4548359116,PE150,682
832,2016-12-20,PacBio,,,
833,2017-02-03,HiSeq4000,5921871034,PE150,888
834,2016-12-21,PacBio,,,
836,2016-12-24,PacBio,,,
837,2017-01-03,PacBio,,,
838,2017-01-03,PacBio,,,
839,2017-01-03,PacBio,,,
840,2017-01-09,HiSeq2500,779271428,PE150,116
844,2017-01-06,MiSeq,0,PE300,0
845,2017-01-10,MiSeq,,,
846,2017-01-10,PacBio,,,
848,2017-01-10,MiSeq,,,
850,2017-01-20,HiSeq4000,2921895611,SR125,365
851,2017-01-16,PacBio,,,
852,2017-01-19,HiSeq2500,1434434004,SR125,179
853,2017-01-19,HiSeq4000,3019741687,SR125,377
855,2017-01-27,HiSeq4000,4933535700,PE150,740
856,2017-02-09,HiSeq4000,0,SR125,0
857,2017-01-25,HiSeq2500,1578793644,SR125,197
859,2017-01-23,PacBio,,,
860,2017-02-15,HiSeq2500,2951359324,PE125,368
861,2017-02-08,HiSeq2500,118326133,SR125,14
863,2017-02-06,HiSeq2500,353694578,SR70,24
864,2017-02-07,HiSeq4000,6033050304,PE150,904
866,2017-02-06,HiSeq2500,402234104,PE250,100
867,2017-02-21,HiSeq2500,225663666,SR125,28
868,2017-01-31,MiSeq,,,
869,2017-01-31,MiSeq,,,
870,2017-01-31,MiSeq,,,
871,2017-01-31,MiSeq,,,
872,2017-01-31,MiSeq,,,
873,2017-03-17,HiSeq4000,5944037910,PE150,891
874,2017-02-06,MiSeq,,,
875,2017-02-07,NextSeq,155294147,PE75,11
876,2017-02-07,PacBio,,,
877,2017-02-14,HiSeq4000,2931566085,SR125,366
879,2017-02-21,HiSeq2500,451752628,PE150,67
880,2017-02-10,MiSeq,,,
881,2017-02-13,HiSeq4000,3059227569,SR125,382
883,2017-02-14,MiSeq,0,PE150,0
884,2017-02-14,MiSeq,,,
885,2017-02-28,HiSeq4000,3178474630,SR125,397
886,2017-03-17,HiSeq4000,2980571349,SR125,372
887,2017-02-17,HiSeq2500,409746671,SR70,28
888,2017-02-17,MiSeq,,,
889,2017-02-20,NextSeq,493145411,SR75,36
890,2017-02-22,HiSeq2500,220079157,SR70,15
891,2017-02-20,MiSeq,,,
892,2017-02-21,NextSeq,570575312,SR75,42
893,2017-02-21,MiSeq,,,
894,2017-02-23,HiSeq2500,515971192,PE150,77
895,2017-02-22,NextSeq,592215840,SR75,44
896,2017-02-23,HiSeq2500,135190,PE125,0
897,2017-02-23,MiSeq,,,
898,2017-02-23,NextSeq,537911757,SR75,40
900,2017-02-24,MiSeq,,,
901,2017-02-24,NextSeq,538368739,SR75,40
902,2017-03-04,HiSeq2500,442302348,SR70,30
903,2017-02-27,NextSeq,400005487,SR75,30
904,2017-02-28,NextSeq,192138514,SR150,28
905,2017-02-28,PacBio,,,
906,2017-03-06,HiSeq2500,769817470,PE150,115
908,2017-03-09,HiSeq2500,409656517,SR70,28
910,2017-03-28,HiSeq2500,2866548446,PE125,358
911,2017-03-06,PacBio,,,
912,2017-03-06,PacBio,,,
913,2017-03-09,HiSeq2500,435181930,SR70,30
914,2017-03-09,HiSeq4000,2528862312,SR125,316
915,2017-03-09,MiSeq,,,
916,2017-03-09,MiSeq,,,
917,2017-04-12,HiSeq4000,5466872114,PE150,820
919,2017-03-20,HiSeq2500,3216724982,PE125,402
922,2017-03-13,MiSeq,,,
923,2017-03-13,MiSeq,,,
924,2017-03-13,MiSeq,,,
925,2017-03-13,MiSeq,,,
926,2017-03-13,NextSeq,176930293,PE75,13
927,2017-03-21,HiSeq2500,53474593,SR70,3
928,2017-04-12,HiSeq2500,1632278546,SR125,204
929,2017-03-14,MiSeq,,,
931,2017-03-21,HiSeq2500,148781764,SR125,18
932,2017-03-16,MiSeq,0,PE250,0
933,2017-03-16,MiSeq,0,PE300,0
934,2017-03-19,PacBio,,,
935,2017-03-24,HiSeq2500,94304198,SR70,6
936,2017-03-22,MiSeq,,,
937,2017-03-22,MiSeq,,,
938,2017-03-22,PacBio,,,
939,2017-03-22,MiSeq,,,
940,2017-03-22,NextSeq,278616954,PE150,41
941,2017-03-23,MiSeq,,,
942,2017-03-24,NextSeq,365025023,SR75,27
943,2017-03-27,NextSeq,697341214,PE75,52
944,2017-03-27,PacBio,,,
945,2017-03-29,NextSeq,376759860,SR75,28
946,2017-03-29,PacBio,,,
947,2017-03-30,NextSeq,24302254,SR150,3
950,2017-04-05,HiSeq2500,610271470,PE125,76
951,2017-04-11,HiSeq4000,5479723498,PE150,821
952,2017-04-04,NextSeq,160745272,PE75,12
953,2017-04-05,NextSeq,0,PE150,0
954,2017-04-06,MiSeq,,,
955,2017-04-06,MiSeq,,,
956,2017-04-07,PacBio,,,
961,2017-04-16,HiSeq2500,518719036,PE250,129
962,2017-04-21,HiSeq2500,689520880,PE250,172
963,2017-04-07,NextSeq,116936938,PE75,8
964,2017-04-21,HiSeq4000,3043494136,SR125,380
965,2017-04-25,HiSeq2500,3595665258,PE125,449
966,2017-04-25,HiSeq4000,5111942276,PE150,766
967,2017-05-08,HiSeq2500,1015220412,PE125,126
968,2017-04-11,MiSeq,,,
970,2017-05-08,HiSeq2500,2863558038,PE125,357
971,2017-04-13,HiSeq2500,395938208,PE250,98
972,2017-04-21,HiSeq4000,0,SR125,0
973,2017-04-27,HiSeq4000,3197931258,SR125,399
974,2017-05-07,HiSeq4000,3108375829,SR125,388
975,2017-05-02,HiSeq4000,11267487,SR125,1
976,2017-04-26,HiSeq2500,1408484013,SR125,176
977,2017-05-10,HiSeq4000,4870740676,PE150,730
978,2017-05-17,HiSeq2500,1429240592,SR125,178
979,2017-04-20,MiSeq,,,
980,2017-04-21,NextSeq,213525866,PE150,32
981,2017-05-10,HiSeq4000,2693497407,SR125,336
982,2017-04-25,NextSeq,147228475,PE150,22
984,2017-04-27,Sequel,,,
985,2017-04-27,MiSeq,,,
986,2017-05-26,HiSeq2500,3062697396,PE125,382
987,2017-05-15,HiSeq4000,3132328454,SR125,391
988,2017-04-28,Sequel,,,
989,2017-06-01,HiSeq4000,3013999299,SR125,376
990,0000-00-00,HiSeq2500,,,
991,2017-05-02,PacBio,,,
992,2017-05-02,MiSeq,,,
993,2017-05-02,MiSeq,,,
994,2017-05-10,HiSeq2500,370154080,SR70,25
995,2017-05-07,HiSeq4000,3145063876,SR125,393
998,2017-05-08,Sequel,,,
999,2017-05-22,HiSeq4000,4518789610,PE150,677
1000,2017-05-09,MiSeq,,,
1001,2017-05-09,MiSeq,,,
1002,2017-05-09,MiSeq,,,
1003,2017-05-09,NextSeq,172735400,PE75,12
1006,0000-00-00,HiSeq2500,0,PE125,0
1007,2017-05-15,MiSeq,,,
1008,2017-05-15,PacBio,,,
1009,2017-05-29,HiSeq4000,5500523830,PE150,825
1010,2017-05-17,Sequel,,,
1011,2017-05-17,Sequel,,,
1012,2017-05-17,NextSeq,297401708,SR150,44
1013,2017-05-18,HiSeq2500,509154236,PE150,76
1016,2017-05-22,PacBio,,,
1017,2017-06-06,HiSeq4000,1917076794,SR125,239
1019,2017-06-04,HiSeq2500,1164093081,SR125,145
1020,2017-06-21,HiSeq4000,4441324904,PE150,666
1021,2017-05-24,NextSeq,152501016,SR150,22
1022,2017-06-20,HiSeq4000,2197009138,SR125,274
1023,2017-06-16,HiSeq4000,2918223381,SR125,364
1024,2017-05-29,MiSeq,0,PE300,0
1025,2017-05-29,NextSeq,372068951,SR75,27
1026,2017-05-30,NextSeq,291298112,SR75,21
1027,0000-00-00,MiSeq,,,
1028,2017-05-31,MiSeq,,,
1029,2017-05-31,MiSeq,,,
1030,2017-06-01,MiSeq,0,PE300,0
1031,2017-06-06,PacBio,,,
1032,2017-06-06,PacBio,,,
1033,2017-06-11,HiSeq2500,485871500,PE150,72
1035,2017-06-10,HiSeq2500,306594648,SR125,38
1036,2017-06-08,Sequel,,,
1037,2017-06-13,HiSeq2500,520862804,PE150,78
1039,2017-06-13,HiSeq2500,252247496,SR125,31
1040,2017-06-15,HiSeq2500,567648184,PE125,70
1041,2017-06-08,MiSeq,,,
1042,0000-00-00,Sequel,,,
1043,2017-06-09,NextSeq,364967536,SR75,27
1044,2017-06-12,NextSeq,311960149,SR75,23
1045,2017-06-13,NextSeq,422685087,SR75,31
1047,2017-06-23,HiSeq2500,319091877,SR70,22
1048,2017-06-14,MiSeq,,,
1049,2017-06-29,HiSeq4000,2784327115,SR125,348
1050,2017-06-15,HiSeq2500,258420204,SR125,32
1051,2017-07-03,HiSeq4000,4582403098,PE150,687
1052,2017-06-16,MiSeq,,,
1053,2017-06-21,Sequel,,,
1054,2017-06-21,Sequel,,,
1055,2017-06-21,PacBio,,,
1056,2017-06-26,HiSeq2500,0,SR125,0
1057,2017-06-26,NextSeq,166525862,PE150,24
1058,2017-06-26,HiSeq2500,439696518,PE150,65
1059,2017-06-26,HiSeq2500,0,SR125,0
1060,2017-07-19,HiSeq4000,3108768030,SR125,388
1061,2017-07-03,HiSeq2500,738093022,PE75,55
1062,2017-07-03,HiSeq2500,315545836,SR125,39
1063,2017-06-27,NextSeq,112592634,PE75,8
1064,0000-00-00,HiSeq4000,0,PE150,0
1065,2017-06-29,PacBio,,,
1066,2017-06-29,MiSeq,,,
1067,2017-06-30,MiSeq,,,
1068,2017-06-30,NextSeq,160055754,SR150,24
1069,2017-07-04,MiSeq,0,PE300,0
1070,2017-07-05,NextSeq,171427030,SR150,25
1072,2017-07-06,MiSeq,,,
1075,2017-07-07,NextSeq,420590538,SR75,31
1076,2017-07-07,HiSeq4000,4217411778,PE150,632
1077,2017-07-11,HiSeq4000,1911324128,PE150,286
1078,2017-08-04,HiSeq4000,3034167424,SR125,379
1079,2017-07-12,PacBio,,,
1080,2017-08-04,HiSeq2500,151591964,SR125,18
1081,2017-07-20,HiSeq2500,1103772748,SR125,137
1082,2017-07-14,MiSeq,,,
1084,2017-07-17,PacBio,,,
1085,2017-07-17,MiSeq,,,
1086,2017-07-19,MiSeq,,,
1087,2017-07-20,Sequel,,,
1088,2017-07-31,HiSeq2500,173376646,PE250,43
1089,2017-08-04,HiSeq2500,551630944,PE75,41
1090,2017-07-24,NextSeq,530172879,SR75,39
1091,0000-00-00,HiSeq2500,0,SR125,0
1092,2017-07-26,Sequel,,,
1093,2017-07-26,Sequel,,,
1094,2017-07-27,NextSeq,552823787,SR75,41
1095,2017-07-28,MiSeq,,,
1096,2017-07-28,HiSeq2500,,,
1097,2017-08-28,HiSeq2500,0,PE26,0
1098,2017-08-01,HiSeq2500,123742661,SR125,15
1099,2017-08-11,HiSeq4000,5533162400,PE150,829
1100,2017-07-31,MiSeq,0,PE150,0
1101,2017-07-31,PacBio,,,
1102,2017-07-31,PacBio,,,
1104,2017-08-30,HiSeq2500,408881332,PE125,51
1105,2017-08-02,PacBio,,,
1108,2017-08-03,NextSeq,1125248618,SR75,84
1109,2017-08-03,PacBio,,,
1110,2017-08-07,HiSeq2500,358445071,SR70,25
1111,2017-08-07,HiSeq2500,375552443,SR70,26
1112,2017-08-04,MiSeq,,,
1113,2017-08-04,NextSeq,465996846,SR75,34
1114,2017-08-04,Sequel,,,
1115,2017-08-17,HiSeq2500,402757331,SR125,50
1117,2017-08-08,Sequel,,,
1118,2017-08-09,HiSeq2500,238460702,SR125,29
1119,2017-07-20,HiSeq2500,375322898,PE250,93
1121,2017-08-09,HiSeq2500,488862912,PE150,73
1122,2017-08-10,HiSeq2500,246461377,SR125,30
1123,2017-08-21,HiSeq4000,2361327729,SR125,295
1124,2017-08-25,HiSeq2500,1880042256,PE125,235
1125,2017-08-21,HiSeq4000,4936857960,PE150,740
1126,2017-08-10,PacBio,,,
1127,2017-08-15,MiSeq,,,
1128,2017-08-10,MiSeq,,,
1129,2017-08-31,HiSeq2500,241381378,SR125,30
1130,2017-08-11,HiSeq2500,182663245,SR125,22
1131,2017-09-10,HiSeq4000,6173825278,PE150,926
1132,2017-08-16,PacBio,,,
1133,2017-08-17,MiSeq,,,
1134,2017-08-17,MiSeq,,,
1135,2017-09-01,HiSeq4000,2604573987,SR125,325
1136,2017-08-29,HiSeq2500,0,PE26,0
1137,2017-08-21,Sequel,,,
1138,2017-08-21,MiSeq,,,
1139,2017-08-21,MiSeq,,,
1140,2017-08-28,HiSeq4000,5044598628,PE150,756
1142,2017-08-22,NextSeq,405588400,PE150,60
1143,2017-09-13,HiSeq2500,342618652,PE250,85
1144,2017-08-25,PacBio,,,
1145,2017-08-30,HiSeq4000,2443207518,SR125,305
1146,2017-10-07,HiSeq2500,1230073333,SR125,153
1148,2017-08-29,PacBio,,,
1149,2017-09-18,HiSeq4000,5890640974,PE150,883
1151,2017-08-30,MiSeq,,,
1152,2017-08-30,MiSeq,,,
1153,2017-08-31,MiSeq,,,
1154,2017-08-31,MiSeq,,,
1155,2017-08-31,MiSeq,0,PE250,0
1156,2017-09-21,HiSeq4000,2833215984,SR125,354
1157,2017-09-08,HiSeq2500,399944028,PE125,49
1158,2017-09-12,HiSeq2500,123809036,PE125,15
1159,2017-09-01,MiSeq,,,
1160,2017-09-04,MiSeq,,,
1161,2017-09-08,HiSeq2500,380920086,PE250,95
1164,2017-09-07,PacBio,,,
1165,2017-09-28,HiSeq2500,2645680570,PE125,330
1166,2017-09-11,PacBio,,,
1167,2017-09-12,NextSeq,296040472,PE150,44
1168,2017-09-13,MiSeq,,,
1169,2017-09-13,MiSeq,,,
1170,2017-09-13,Sequel,,,
1171,2017-09-25,HiSeq2500,341917012,PE250,85
1172,2017-08-08,HiSeq2500,166084944,SR125,20
1173,2016-10-05,HiSeq4000,1913180513,SR125,239
1174,2017-10-26,HiSeq2500,580751270,PE150,87
1175,2017-09-21,NextSeq,,,
1176,2017-09-25,PacBio,,,
1177,2017-09-27,PacBio,,,
1178,2017-09-27,NextSeq,313075626,PE150,46
1179,2017-09-27,PacBio,,,
1180,2017-09-27,MiSeq,,,
1182,2017-10-31,HiSeq2500,543302448,PE150,81
1183,2017-10-16,HiSeq2500,586589706,PE250,146
1184,2017-10-11,HiSeq4000,2915604396,SR125,364
1185,2017-10-31,HiSeq4000,5275214628,PE150,791
1186,2017-10-05,PacBio,,,
1188,2017-10-10,MiSeq,,,
1189,2017-10-25,HiSeq2500,0,PE26,0
1190,0000-00-00,HiSeq2500,0,PE26,0
1191,2017-10-11,HiSeq2500,389287452,PE26,10
1192,2017-10-25,HiSeq2500,1301646642,SR125,162
1193,2017-10-11,PacBio,,,
1195,2017-10-12,MiSeq,,,
1196,2017-10-12,MiSeq,0,PE300,0
1197,2017-10-25,HiSeq4000,2929543795,SR125,366
1198,2017-11-01,HiSeq4000,2659341652,SR125,332
1199,2017-10-17,MiSeq,,,
1200,2017-11-09,HiSeq2500,930,PE150,0
1201,2017-10-20,MiSeq,,,
1202,2017-10-23,Sequel,,,
1203,2017-10-23,Sequel,,,
1204,2017-11-06,HiSeq2500,0,PE26,0
1205,2017-10-27,HiSeq4000,3095916544,SR125,386
1206,2017-11-10,HiSeq4000,2793050166,SR125,349
1208,2017-11-07,HiSeq4000,690674758,PE75,51
1209,2017-10-24,Sequel,,,
1210,2017-10-24,NextSeq,590656,SR75,0
1211,2017-10-25,NextSeq,419615732,SR75,31
1212,2017-10-25,PacBio,,,
1213,2017-10-26,NextSeq,1039557196,PE150,155
1214,2017-10-26,NextSeq,371207025,SR75,27
1215,2017-11-16,HiSeq4000,4972974528,PE150,745
1216,2017-11-03,HiSeq2500,2647940086,PE75,198
1217,2017-10-30,NextSeq,127977728,PE75,9
1218,2017-11-10,HiSeq4000,2032498538,SR125,254
1219,2017-10-31,Sequel,,,
1220,2017-11-01,MiSeq,,,
1221,2017-11-03,NextSeq,897245116,PE75,67
1222,2017-11-14,HiSeq2500,1554538405,SR125,194
1223,2017-11-06,PacBio,,,
1225,2017-11-21,HiSeq2500,662372084,PE75,49
1229,2017-11-06,Sequel,,,
1230,2017-11-17,HiSeq2500,278746004,SR125,34
1231,2017-11-09,NextSeq,172474080,SR150,25
1232,2017-11-23,HiSeq2500,0,PE26,0
1233,2017-11-21,HiSeq2500,0,PE150,0
1234,2017-11-10,HiSeq2500,2938394414,PE125,367
1235,2017-11-18,HiSeq2500,334612613,SR125,41
1236,2017-11-28,HiSeq2500,1172094688,SR125,146
1237,2017-11-13,MiSeq,,,
1238,2017-11-16,HiSeq4000,4976923186,PE150,746
1239,2017-11-13,PacBio,,,
1240,2017-11-24,HiSeq2500,383259390,PE250,95
1241,2017-11-13,NextSeq,89556686,SR150,13
1242,2017-11-23,HiSeq4000,2962733638,SR125,370
1243,2017-12-05,HiSeq4000,5155153548,PE150,773
1244,2017-11-14,MiSeq,,,
1246,2017-11-15,MiSeq,,,
1247,2017-11-15,MiSeq,,,
1248,2017-11-15,Sequel,,,
1249,2017-12-07,HiSeq2500,741816287,SR125,92
1250,2017-11-15,NextSeq,562828435,SR75,42
1251,2017-11-16,NextSeq,138126742,SR150,20
1252,2017-11-25,HiSeq4000,2972804401,SR125,371
1253,2017-11-17,NextSeq,521400885,SR75,39
1254,2017-11-17,Sequel,,,
1255,2017-11-30,HiSeq4000,2757189220,SR150,413
1256,2017-11-23,Sequel,,,
1257,2017-12-06,HiSeq4000,5278174688,PE150,791
1258,2017-11-24,NextSeq,186488780,SR150,27
1259,2017-11-24,PacBio,,,
1260,2017-11-26,MiSeq,,,
1261,2017-11-26,NextSeq,358425525,SR75,26
1262,2017-11-27,NextSeq,320506103,SR75,24
1263,2017-12-12,HiSeq2500,481327619,SR125,60
1264,2017-11-27,MiSeq,,,
1265,2017-11-27,HiSeq2500,281440644,PE150,42
1266,2017-11-29,HiSeq4000,5175874278,PE150,776
1267,2017-11-28,MiSeq,,,
1268,2017-11-28,NextSeq,0,SR75,0
1269,2017-11-29,MiSeq,0,PE300,0
1270,2017-12-08,HiSeq4000,2274929975,SR125,284
1271,2017-11-30,Sequel,,,
1272,2017-12-01,MiSeq,,,
1273,2017-12-07,HiSeq2500,1310453739,SR125,163
1275,2017-12-04,PacBio,,,
1276,2017-12-17,HiSeq4000,2883102039,SR125,360
1277,2017-12-06,Sequel,,,
1278,2017-12-06,MiSeq,0,PE250,0
1279,2017-12-06,MiSeq,0,PE250,0
1280,2017-12-19,HiSeq2500,1897598280,PE125,237
1281,2017-12-06,PacBio,,,
1283,2017-12-06,NextSeq,17209060,PE150,2
1284,2017-12-07,NextSeq,521870481,SR75,39
1286,2017-12-08,HiSeq2500,845472740,SR125,105
1287,2017-12-19,HiSeq4000,5791984202,PE150,868
1288,2017-12-18,HiSeq4000,5105221082,PE150,765
1289,2018-01-24,HiSeq2500,550609860,PE250,137
1290,2018-01-24,HiSeq2500,549374404,PE250,137
1291,2017-12-10,MiSeq,,,
1292,2017-12-10,MiSeq,,,
1293,2017-12-11,NextSeq,400523464,SR75,30
1294,2017-12-12,Sequel,,,
1295,2017-12-06,HiSeq2500,,,
1296,2017-12-13,MiSeq,,,
1297,2017-12-14,Sequel,,,
1298,0000-00-00,PacBio,,,
1299,2017-12-14,MiSeq,,,
1300,2017-12-14,HiSeq2500,2874529460,PE150,431
1301,2018-01-09,HiSeq2500,289395162,PE125,36
1302,2018-01-25,HiSeq4000,5044757850,PE150,756
1303,2017-12-22,HiSeq4000,2891696075,SR125,361
1306,2017-12-18,PacBio,,,
1307,2017-12-22,HiSeq4000,1952496818,SR125,244
1308,2017-12-19,NextSeq,797838412,PE75,59
1309,2017-12-19,MiSeq,0,PE150,0
1310,2017-12-19,MiSeq,,,
1311,2017-12-20,NextSeq,626139930,PE75,46
1313,2017-12-21,PacBio,,,
1314,2017-12-21,PacBio,,,
1315,2017-12-21,MiSeq,0,PE300,0
1316,2017-12-21,NextSeq,733532174,PE75,55
1317,2018-01-03,MiSeq,,,
1318,2018-01-08,MiSeq,,,
1319,2018-02-02,HiSeq4000,2277899712,SR125,284
1320,2018-01-17,NextSeq,216769478,PE75,16
1321,2018-01-17,MiSeq,,,
1322,2018-01-17,NextSeq,453954093,SR75,34
1323,2018-02-06,HiSeq2500,67642811,SR125,8
1324,2018-01-19,MiSeq,,,
1325,2018-01-23,MiSeq,,,
1327,2018-01-24,Sequel,,,
1328,2018-01-25,NextSeq,347097565,PE75,26
1329,2018-02-13,HiSeq4000,5157287350,PE150,773
1330,2018-01-25,MiSeq,,,
1331,2018-01-26,Sequel,,,
1332,2018-01-26,MiSeq,0,PE300,0
1333,2018-01-29,HiSeq2500,233362045,SR70,16
1334,2018-01-31,HiSeq2500,301020172,SR70,21
1335,2018-01-29,MiSeq,,,
1336,2018-01-29,NextSeq,301250366,PE150,45
1337,2018-02-02,HiSeq2500,2474153274,PE125,309
1338,2018-01-30,NextSeq,307112473,PE75,23
1339,2018-01-30,PacBio,,,
1340,2018-01-31,MiSeq,0,PE250,0
1341,2018-01-31,NextSeq,293304501,SR75,21
1342,2018-02-02,MiSeq,0,PE250,0
1343,2018-02-02,MiSeq,0,PE250,0
1344,2018-02-08,HiSeq4000,3069441448,SR125,383
1345,2018-02-05,MiSeq,,,
1346,2018-02-15,HiSeq4000,2255635188,SR125,281
1347,2018-02-23,HiSeq2500,637096310,PE125,79
1348,2018-03-07,HiSeq4000,5267395070,PE150,790
1349,2018-02-07,MiSeq,,,
1350,2018-02-07,MiSeq,,,
1351,2018-02-07,MiSeq,,,
1352,2018-02-13,HiSeq2500,256863028,SR125,32
1353,2018-02-21,HiSeq4000,2259131946,SR125,282
1355,2018-02-09,Others,,,
1356,2018-02-09,Sequel,,,
1357,2018-02-19,HiSeq2500,267168402,SR125,33
1358,2018-02-13,HiSeq2500,275390372,SR125,34
1359,2018-02-13,PacBio,,,
1360,2018-02-13,NextSeq,146755590,SR150,22
1362,2018-02-14,MiSeq,,,
1363,2018-02-14,MiSeq,,,
1364,2018-02-15,NextSeq,854545674,PE150,128
1365,2018-03-01,HiSeq4000,2979115820,SR125,372
1366,2018-02-16,MiSeq,,,
1367,2018-02-19,Sequel,,,
1368,2018-03-20,HiSeq4000,2245804382,PE150,336
1369,2018-02-20,NextSeq,496280346,PE150,74
1370,2018-02-20,MiSeq,,,
1372,2018-02-21,MiSeq,0,PE300,0
1374,2018-02-22,NextSeq,951950714,SR150,142
1375,2018-02-22,NextSeq,153280898,PE150,22
1376,2018-03-01,HiSeq2500,193358093,SR125,24
1377,2018-03-13,HiSeq4000,4080966872,PE150,612
1379,2018-02-27,HiSeq2500,485081978,PE250,121
1380,2018-02-23,NextSeq,,,
1382,2018-02-27,HiSeq2500,443987464,PE125,55
1383,2018-02-28,HiSeq2500,471817986,PE125,58
1384,2018-03-05,HiSeq2500,621646952,PE125,77
1385,2018-03-05,HiSeq2500,637052966,PE125,79
1386,2018-02-25,Sequel,,,
1387,2018-03-06,HiSeq2500,668619452,PE125,83
1388,2018-02-26,NextSeq,127779289,SR150,19
1390,2018-03-14,HiSeq2500,187808875,SR125,23
1392,2018-03-29,HiSeq4000,3286990798,PE150,493
1394,2018-02-28,PacBio,,,
1395,2018-03-01,MiSeq,0,PE300,0
1396,2018-03-02,MiSeq,,,
1397,2018-03-19,HiSeq2500,1422067403,SR125,177
1398,2018-03-02,NextSeq,462503220,SR75,34
1399,2018-03-16,HiSeq4000,4572893070,PE150,685
1400,2018-03-05,PacBio,,,
1403,2018-03-20,HiSeq4000,2792094101,SR125,349
1404,2018-03-13,HiSeq4000,2991884307,SR125,373
1405,2018-03-14,HiSeq2500,196274480,PE75,14
1406,2018-03-15,HiSeq2500,287125180,PE75,21
1407,2018-03-07,PacBio,,,
1409,2018-03-07,NextSeq,792813624,PE150,118
1410,2018-02-09,Others,56133288,PE150,8
1411,2018-03-08,Sequel,,,
1412,2018-03-08,MiSeq,,,
1414,2018-03-23,HiSeq2500,829355498,SR125,103
1416,2018-03-09,MiSeq,,,
1417,2018-04-03,HiSeq2500,768480572,PE26,19
1418,2018-03-12,NextSeq,79422529,PE150,11
1420,2018-03-14,MiSeq,,,
1421,2018-03-14,NextSeq,306861928,SR150,46
1422,2018-03-15,Sequel,,,
